cnes,uf,ibge,nome,logradouro,bairro,latitude,longitude
0010774,53,530010,UBS 02 SAMAMBAIA,QS 611 AREA ESPECIAL,SAMAMBAIA NORTE,-15.875508,-48.109087
0010650,53,530010,UBS 2 PLANALTINA,ENTRE QUADRAS 1 10 AREA ESPECIAL,PLANALTINA,-15.6123694,-47.6432971
5789494,53,530010,UBS 9 SANTA MARIA,AVENIDA ALAGADOS CL 109,SANTA MARIA,-16.0188590663,-48.0231285095
0010693,53,530010,UBS 01 ASA SUL,AV W3 SUL EQS 514 515 SUL,ASA SUL,-15.8256743534,-47.9240584373
0010707,53,530010,UBS 1 ASA NORTE,SGAN,ASA NORTE,-15.7733496755,-47.8926068544
0011355,53,530010,UBS 3 ASA NORTE VILA PLANALTO,RUA PIAU ACAMPAMENTO PACHECO FERNANDES,VILA PLANALTO,-15.7954229749,-47.8483450413
2617269,53,530010,UBS 08 TAGUATINGA,EQNL 24 AREA ESPECIAL,TAGUATINGA,-15.820931,-48.092265
2617358,53,530010,UBS 1 VARJAO,VILA VARJAO QUADRA 5,VILA VARJAO DO TORTO,-15.7108980443,-47.8763338923
2672227,53,530010,UBS 15 RIO PRETO PLANALTINA,DF 320 NUCLEO RURAL RIO PRETO,PLANALTINA,-15.762626,-47.492915
8192650,53,530010,UBS 11 SANTA MARIA,EQ 216 316 AREA ESPECIAL,SANTA MARIA,-16.008129711,-47.9960498135
3028003,53,530010,UBS 14 SAO SEBASTIAO PDF IV,RODOVIA 465 KM,SAO SEBASTIAO,-15.912967,-47.8076817
3286959,53,530010,UBS 2 ITAPOA,AREA ESPECIAL ENTRE QUADRA 61 318,ITAPOA,-15.7455674676,-47.7697998018
0010677,53,530010,UBS 03 SAMAMBAIA,QN 429 CONJUNTO F LOTE,SAMAMBAIA NORTE,-15.896572,-48.138999
0010685,53,530010,UBS 04 SAMAMBAIA,QN 512 CONJUNTO 2 LOTE,SAMAMBAIA SUL,-15.878955,-48.068554
0010723,53,530010,UBS 2 ASA NORTE,EQN 114 115,ASA NORTE,-15.7430749964,-47.8917378187
0010782,53,530010,UBS 1 SANTA MARIA,QR 207 307 CONJ T LOTE,SANTA MARIA,-16.0264665703,-48.0262992094
0011037,53,530010,UBS 7 CEILANDIA,QNO 10 AREA ESPECIAL D E,SETOR O,-15.795681,-48.131103
0011045,53,530010,UBS 8 CEILANDIA,EQNP 13 17 LOTES A B C D P NORTE,CEILANDIA NORTE,-15.806933,-48.130009
0011150,53,530010,UBS 1 ASA SUL,SGAS QUADRA 612 LOTES,ASA SUL,-15.8327733005,-47.9095074534
0011177,53,530010,UBS 1 LAGO NORTE,SHIN QI 3,LAGO NORTE,-15.72591958,-47.873903811
3144623,53,530010,UBS 10 RECANTO DAS EMAS,QD 511 311 LOTE 01 AVENIDA MONJOLO,RECANTO DAS EMAS,-15.929679,-48.106555
2673924,53,530010,UBS 04 RIACHO FUNDO II,AREA ESPECIAL N 01 CAUB I,RIACHO FUNDO II,-15.947472,-48.015139
2804174,53,530010,UBS 10 TAQUARA PLANALTINA,NUCLEO RURAL TAQUARA QUADRA 1 AREA ESPECIAL,PLANALTINA,-15.6332615,-47.5212356
0011207,53,530010,UBS 10 CEILANDIA,QNN 12 AREA ESPECIAL 1,CEILANDIA SUL,-15.824358,-48.113465
2617293,53,530010,UBS 12 CEILANDIA,EQNQ 03 04,CEILANDIA NORTE,-15.804724,-48.14357
0010626,53,530010,UBS 05 TAGUATINGA,SETOR D SUL AE 23,TAGUATINGA SUL,-15.851049,-48.047118
